#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xrdb,"enable Xresources"
,xorg-xlsfonts,"see what fonts x currently has loaded"
,xorg-fontsel,"forget"
,xorg-xset,"forget"
,xorg-xrandr,"forget"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ttf-inconsolata,"forget"
,noto-fonts,"forget"
,bc,"is used for a dropdown calculator."
,arandr,"allows the user to customize monitor arrangements."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,firefox,"is the Mozilla provided free web-browser"
,gnome-keyring,"serves as the system keyring."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,slock,"allows you to lock your computer, and quickly unlock with your password."
#MINE
,rsync,"versatile file copying tool"
,i3-wm,"i3 windom manager"
,i3status,"status bar for i3 window mangaer"
,i3lock,"lock screen for i3 window manager"
,iwd,"provides the client program iwctl, the daemon iwd and the Wi-Fi monitoring tool iwmon"
,rxvt-unicode,"forget"
,urxvt-perls,"enabled perl extentions for the urxvt terminal"
,xdg-utils,"forget"
,dmenu,"menubar for i3 windom manager"
,network-manager-applet,"wifi options UI pane"
,git,"git"
,curl,"curl"
,keepassxc,"password vault"
,udisks2,"forget"
,udiskie,"forget"
,python,"python"
,node,"forget"
,npm,"npm"
,jq,"jq"
,acpid,"forget"
,alsa-utils,"forget"
,inetutils,"forget"
,imv,"forget"
,autorandr,"forget"
,wimlib,"extract, create, and modify WIM files for Windows installs"
A,tff-iosevka,"forget"
A,urxvt-resize-font-git,"urxvt terminal font resizing plugin"
A,zsh-syntax-highlighting,"syntax highlighting in zsh shell"
A,zsh-history-substring-search,"command auto search utility for zsh shell"
